"","slope","season","species","range_min","range_max","range_mean","range_sd","temp_mean","temp_sd"
"Eugenes fulgens3","Nuevo_Leon","summer","Eugenes fulgens",600,3000,2302.28973244525,580.998586693744,16.7284493053999,3.50594930224843
"Falco peregrinus12","Nuevo_Leon","summer","Falco peregrinus",200,2800,1915.61585133556,958.77908131996,19.0093873508791,5.6414217436811
"Falco sparverius12","Nuevo_Leon","summer","Falco sparverius",1400,2800,2109.14077812377,489.326829809205,18.1019208175846,3.07216218921335
"Geococcyx californianus","Nuevo_Leon","summer","Geococcyx californianus",200,2800,1858.6501751383,921.316601660808,19.4199088142381,5.36000109138098
"Geranoaetus albicaudatus2","Nuevo_Leon","summer","Geranoaetus albicaudatus",200,2200,448.610759834302,1424.30406422747,27.4547772490555,7.92311430588289
"Glaucidium brasilianum3","Nuevo_Leon","summer","Glaucidium brasilianum",200,2400,889.031337163707,632.716978147381,24.7775564894693,3.52903825001889
"Haemorhous mexicanus9","Nuevo_Leon","summer","Haemorhous mexicanus",400,2800,1721.95688986183,594.075623594746,20.2248243481174,3.35609533943692
"Icteria virens6","Nuevo_Leon","summer","Icteria virens",200,2200,1497.37382274931,732.279850229469,21.3696832532742,3.97274715561415
"Icterus cucullatus1","Nuevo_Leon","summer","Icterus cucullatus",0,800,307.269437282361,783.316982494506,28.2230119464801,4.5106484115837
"Icterus graduacauda1","Nuevo_Leon","summer","Icterus graduacauda",400,2800,1574.56372244654,750.752351102501,20.9394706491259,4.28473495391416
"Icterus gularis2","Nuevo_Leon","summer","Icterus gularis",200,800,365.993401860786,264.730342401373,27.8285477486481,1.81056560089818
"Icterus parisorum","Nuevo_Leon","summer","Icterus parisorum",1000,3000,2231.02616264109,535.903307737612,17.2284010343914,3.29751304322757
"Icterus spurius1","Nuevo_Leon","summer","Icterus spurius",200,2800,1285.15326784629,1138.92597214065,22.4635902254716,6.54111188951037
"Junco phaeonotus4","Nuevo_Leon","summer","Junco phaeonotus",2000,3400,2892.77997864694,441.717140706213,13.1499199993672,2.67548643424355
"Lampornis clemenciae","Nuevo_Leon","summer","Lampornis clemenciae",800,3400,2347.6754512506,690.942389372758,16.4180740841707,4.08930481516332
"Lanius ludovicianus1","Nuevo_Leon","summer","Lanius ludovicianus",1800,2600,1983.10517684492,526.76017217309,19.0191511324667,3.26312338544258
"Leiothlypis crissalis","Nuevo_Leon","summer","Leiothlypis crissalis",1800,3000,2579.23154938257,320.109556886342,15.0101539860579,2.12767959951306
"Leptotila verreauxi9","Nuevo_Leon","summer","Leptotila verreauxi",200,2800,1012.32642861621,762.250279484495,24.1537460092418,4.40392599768936
"Megascops asio1","Nuevo_Leon","summer","Megascops asio",200,1400,674.63687320492,389.12127316619,25.9961652290906,2.2692053373149
"Megascops trichopsis","Nuevo_Leon","summer","Megascops trichopsis",1200,2800,2103.37789915393,678.516377357144,18.1331574296837,3.97252343826355
"Melanerpes aurifrons3","Nuevo_Leon","summer","Melanerpes aurifrons",200,2400,1007.09074585015,670.274067018464,24.1466944114363,3.72456311422487
"Melanerpes formicivorus7","Nuevo_Leon","summer","Melanerpes formicivorus",600,3000,1894.3924524797,770.47452943126,19.0301401029124,4.49647228338132
"Melozone fusca2","Nuevo_Leon","summer","Melozone fusca",1000,3000,2106.29671050618,524.524300326146,18.0386856187692,3.19957368470551
"Mimus polyglottos2","Nuevo_Leon","summer","Mimus polyglottos",200,2600,1235.55189718775,871.187276219027,23.0805621584872,4.79356371566104
"Molothrus aeneus4","Nuevo_Leon","summer","Molothrus aeneus",200,3000,1136.19763674768,739.758421767981,23.4336966600658,4.22935521508413
"Molothrus ater6","Nuevo_Leon","summer","Molothrus ater",200,2200,1149.46487577349,750.276822351938,23.5871274474343,4.01882942727598
"Myadestes occidentalis4","Nuevo_Leon","summer","Myadestes occidentalis",800,3000,2141.00876968459,612.939195760185,17.6907898576419,3.64603321827272
"Myiarchus cinerascens2","Nuevo_Leon","summer","Myiarchus cinerascens",200,2400,1204.74100505929,928.723464426969,23.2051321518436,5.07689544457637
"Myiarchus tuberculifer8","Nuevo_Leon","summer","Myiarchus tuberculifer",400,2600,1072.50514266949,552.307104765109,23.8156856848828,3.12330372768449
"Myiarchus tyrannulus2","Nuevo_Leon","summer","Myiarchus tyrannulus",200,2200,442.119643076957,865.638548808215,27.421453426523,4.92277238640502
"Myioborus miniatus8","Nuevo_Leon","summer","Myioborus miniatus",1800,3000,2684.21816816767,380.939185035521,14.3333470327326,2.42387973648928
"Myioborus pictus1","Nuevo_Leon","summer","Myioborus pictus",1000,3000,1962.03833728016,722.825443737726,18.6404164640642,4.16300198523749
"Myiodynastes luteiventris3","Nuevo_Leon","summer","Myiodynastes luteiventris",400,1400,937.590630199998,395.488864870963,24.5784619419451,2.26612839636853
"Nyctidromus albicollis6","Nuevo_Leon","summer","Nyctidromus albicollis",200,1200,703.191954370448,367.27425733205,25.7737514148864,2.14285449821007
"Oreothlypis superciliosa3","Nuevo_Leon","summer","Oreothlypis superciliosa",800,3000,2242.70557387809,653.051291537612,16.9900654998275,3.82687989832941
"Ortalis vetula2","Nuevo_Leon","summer","Ortalis vetula",200,1400,653.054862321504,335.148708369811,26.0806008442076,1.84244623504415
"Pachyramphus aglaiae3","Nuevo_Leon","summer","Pachyramphus aglaiae",200,2000,794.130836955086,390.293368497196,25.4596711802883,2.0036737176054
"Parabuteo unicinctus2","Nuevo_Leon","summer","Parabuteo unicinctus",200,2200,844.316627899503,862.15705048448,25.1278328162404,4.60664099079067
"Passerina caerulea3","Nuevo_Leon","summer","Passerina caerulea",200,2600,1311.65333277308,875.171168852676,22.5670670090317,4.86059259809489
"Passerina ciris","Nuevo_Leon","summer","Passerina ciris",200,400,315.327040148865,286.166318535771,28.1896369731596,1.98137092424229
"Passerina versicolor","Nuevo_Leon","summer","Passerina versicolor",200,2200,887.809572597547,483.211171500584,24.9420679482142,2.70692523514133
"Patagioenas fasciata9","Nuevo_Leon","summer","Patagioenas fasciata",600,3000,2004.53965614311,652.578772243649,18.4611059425495,3.79338665646115
"Patagioenas flavirostris3","Nuevo_Leon","summer","Patagioenas flavirostris",200,1400,830.621376038982,402.0728870834,25.0471193507259,2.35501707133976
"Petrochelidon fulva1","Nuevo_Leon","summer","Petrochelidon fulva",200,2800,1210.22782436115,889.709534993505,23.1973753411216,4.94686287231925
"Petrochelidon pyrrhonota5","Nuevo_Leon","summer","Petrochelidon pyrrhonota",200,2400,1495.80571799246,747.726288142121,21.5710499015268,4.03839728689682
"Peucaea cassinii","Nuevo_Leon","summer","Peucaea cassinii",200,2600,1956.29661457874,619.326043851859,19.1602763409353,3.63503723315009
"Peucedramus taeniatus2","Nuevo_Leon","summer","Peucedramus taeniatus",2000,3000,2649.20043343148,466.192047472023,14.600157626349,3.03599100453624
"Phainopepla nitens","Nuevo_Leon","summer","Phainopepla nitens",600,2600,2121.61349362765,451.953172203105,18.0232005411765,2.88757650044886
"Pheucticus melanocephalus5","Nuevo_Leon","summer","Pheucticus melanocephalus",1000,3000,2257.29391249407,566.091711942242,16.9994741984213,3.40859911445039
"Pipilo maculatus6","Nuevo_Leon","summer","Pipilo maculatus",1800,3400,2539.72527123542,433.633357255391,15.3236064335787,2.76422213921123
"Piranga bidentata1","Nuevo_Leon","summer","Piranga bidentata",600,2400,1368.06703531365,567.638637294983,22.1735305011008,3.1697123954932
"Piranga flava6","Nuevo_Leon","summer","Piranga flava",600,2800,1677.78923668875,687.172510378361,20.39975631456,3.92655536492506
"Piranga rubra2","Nuevo_Leon","summer","Piranga rubra",200,2600,1677.47075999333,906.825154126428,20.3427632244407,5.19816909686714
"Poecile sclateri2","Nuevo_Leon","summer","Poecile sclateri",1800,3200,2833.7814807333,486.687609586282,13.4958056285669,3.07985598409246
"Polioptila caerulea2","Nuevo_Leon","summer","Polioptila caerulea",200,2600,1454.51820097979,1101.25362342249,21.659292352198,6.29342076341808
"Psaltriparus minimus5","Nuevo_Leon","summer","Psaltriparus minimus",1600,3400,2544.04488869687,562.763818852939,15.3547980584575,3.52089304836838
"Psilorhinus morio2","Nuevo_Leon","summer","Psilorhinus morio",200,1400,657.884835139869,370.077143617776,26.0458807637812,2.18285056753584
"Psittacara holochlorus","Nuevo_Leon","summer","Psittacara holochlorus",400,1600,669.135387223133,522.580632067376,25.7800260535417,2.86688643644231
"Ptiliogonys cinereus4","Nuevo_Leon","summer","Ptiliogonys cinereus",2000,3000,2415.79966106702,369.686537202033,16.1076330567151,2.47226251655416
"Pyrocephalus rubinus8","Nuevo_Leon","summer","Pyrocephalus rubinus",1000,2600,1623.33910550757,431.965210888149,20.8758266121941,2.28093882059554
"Salpinctes obsoletus3","Nuevo_Leon","summer","Salpinctes obsoletus",800,2600,1849.81797951243,604.236488079219,19.5446049749469,3.46556658749473
"Sayornis nigricans10","Nuevo_Leon","summer","Sayornis nigricans",200,3400,1752.70720637936,1259.09913162991,19.9014716907844,7.22452130832717
"Sayornis saya2","Nuevo_Leon","summer","Sayornis saya",600,3000,2082.82866619705,617.942038202602,18.0778387143088,3.69757392712823
"Selasphorus platycercus1","Nuevo_Leon","summer","Selasphorus platycercus",1000,3400,2736.57556552352,711.061185418562,14.1182308138916,4.21208899028013
"Setophaga pitiayumi7","Nuevo_Leon","summer","Setophaga pitiayumi",400,2400,901.062935630239,420.662442848595,24.7285180855512,2.35523868425563
"Sialia mexicana5","Nuevo_Leon","summer","Sialia mexicana",1800,3400,2648.5506454778,498.229428051801,14.6795839930679,3.0886584262411
"Sitta carolinensis5","Nuevo_Leon","summer","Sitta carolinensis",1000,3000,2363.30950728118,629.408215875679,16.3118169190632,3.78161731873674
"Spinus pinus6","Nuevo_Leon","summer","Spinus pinus",2000,3400,3040.83715874319,601.699713770042,12.3205759610417,3.58367876838683
"Spinus psaltria11","Nuevo_Leon","summer","Spinus psaltria",200,3000,1787.25601777084,803.242681323154,19.7211080633615,4.66170477360608
"Spizella atrogularis","Nuevo_Leon","summer","Spizella atrogularis",1800,2600,2073.95692053131,303.134305577054,18.444544027234,2.06294125060808
"Spizella passerina7","Nuevo_Leon","summer","Spizella passerina",1600,2800,2276.48111699793,448.467737006245,16.9745466914458,2.82337476968484
"Stelgidopteryx serripennis9","Nuevo_Leon","summer","Stelgidopteryx serripennis",200,2400,872.00064231629,849.629690402144,24.8800344462899,4.55448695771161
"Sturnella magna2","Nuevo_Leon","summer","Sturnella magna",200,2400,1131.15143218548,1265.82593526633,23.7100593174096,7.0286788715531
"Sturnella neglecta4","Nuevo_Leon","summer","Sturnella neglecta",1800,2600,2142.54244302359,361.812692958928,17.9430129432721,2.45135346404057
"Tachycineta thalassina4","Nuevo_Leon","summer","Tachycineta thalassina",1800,2800,2343.65845681038,411.21348562334,16.5462912905523,2.71560282418072
"Thryomanes bewickii5","Nuevo_Leon","summer","Thryomanes bewickii",200,2800,1678.15691418787,799.181731331077,20.4026574020358,4.61292143743805
"Thryothorus ludovicianus1","Nuevo_Leon","summer","Thryothorus ludovicianus",200,1400,985.318593174719,465.539496439548,24.2363979268102,2.72084300887712
"Toxostoma curvirostre2","Nuevo_Leon","summer","Toxostoma curvirostre",200,3000,1836.23914011519,783.336874016779,19.6409657912314,4.5521174070704
"Toxostoma longirostre","Nuevo_Leon","summer","Toxostoma longirostre",200,2800,842.386408618946,529.54085419734,25.0999867521541,3.07055262668107
"Troglodytes aedon16","Nuevo_Leon","summer","Troglodytes aedon",2000,3400,2928.95323474688,1128.99093643344,13.0298930116091,6.68456507426602
"Trogon elegans1","Nuevo_Leon","summer","Trogon elegans",600,2800,1747.62417307902,731.97938076017,19.896338925713,4.20902138986752
"Turdus grayi3","Nuevo_Leon","summer","Turdus grayi",200,2800,1047.95854404302,585.36296913321,23.8474851464466,3.34232477290724
"Turdus migratorius8","Nuevo_Leon","summer","Turdus migratorius",1600,3400,2621.53947969763,519.943912601601,14.8420185175148,3.25242611092101
"Tyrannus couchii2","Nuevo_Leon","summer","Tyrannus couchii",200,1000,505.865465492699,302.691706200105,26.8974880789441,1.80451735967791
"Tyrannus verticalis4","Nuevo_Leon","summer","Tyrannus verticalis",200,2400,488.214972311686,1153.02114802965,27.2159702363668,6.51071310624992
"Tyrannus vociferans1","Nuevo_Leon","summer","Tyrannus vociferans",1400,3000,1955.85074176651,492.276298388431,18.8830416178197,2.93157516540176
"Vireo flavoviridis3","Nuevo_Leon","summer","Vireo flavoviridis",400,1400,934.463490570529,444.433992141132,24.6808150080375,2.50109867778584
"Vireo griseus1","Nuevo_Leon","summer","Vireo griseus",200,1000,498.839536597567,498.166793200171,27.1247589044822,2.77933702192328
"Vireo huttoni4","Nuevo_Leon","summer","Vireo huttoni",800,3000,2266.66271317193,594.46978685568,16.9162370516622,3.55847254402789
"Zenaida asiatica4","Nuevo_Leon","summer","Zenaida asiatica",200,3000,1122.6168334588,747.104076268662,23.5297283336432,4.17651353506358
"Accipiter cooperii8","California_Sierra_Nevada","summer","Accipiter cooperii",0,3400,1664.97837461087,1116.5990883292,15.8343817279709,6.01936480732547
"Accipiter striatus7","California_Sierra_Nevada","summer","Accipiter striatus",200,2800,1555.06648101626,750.993292611708,16.647034806908,3.85895098641996
"Aegolius acadicus1","California_Sierra_Nevada","summer","Aegolius acadicus",800,2400,1461.86356288147,382.447690827934,17.3891788512203,1.92516154606482
"Aeronautes saxatalis4","California_Sierra_Nevada","summer","Aeronautes saxatalis",0,3600,1740.73820030794,894.426737197566,15.8121354446129,4.88163002578022
"Aimophila ruficeps1","California_Sierra_Nevada","summer","Aimophila ruficeps",0,1000,536.233227389848,454.992907872029,21.6773035379353,2.24531892960484
"Amphispiza bilineata1","California_Sierra_Nevada","summer","Amphispiza bilineata",200,1600,1163.10538861643,437.051781449158,19.0323921110466,1.84948503609363
"Anthus rubescens1","California_Sierra_Nevada","summer","Anthus rubescens",3000,3800,3580.69198775892,358.189813742811,6.71621563043745,1.13910341392743
"Aphelocoma californica3","California_Sierra_Nevada","summer","Aphelocoma californica",0,1600,683.234946226356,426.511377970721,20.9670510547869,2.18949226858245
"Aquila chrysaetos7","California_Sierra_Nevada","summer","Aquila chrysaetos",0,3600,2550.06058064618,1417.3480411678,11.2185248424447,7.4840014295527
"Archilochus alexandri3","California_Sierra_Nevada","summer","Archilochus alexandri",0,1600,629.842403664741,550.44790550802,21.2360374906158,2.9466093075587
"Artemisiospiza belli","California_Sierra_Nevada","summer","Artemisiospiza belli",400,2000,1015.33370572505,419.808831729054,19.2425184843407,2.03515700756007
"Baeolophus inornatus1","California_Sierra_Nevada","summer","Baeolophus inornatus",0,1200,651.979331257389,365.090261765133,21.0796321668694,1.8893769641065
"Branta canadensis5","California_Sierra_Nevada","summer","Branta canadensis",0,1200,395.156756873638,551.998561741845,22.5286237784466,2.97111267597101
"Bubo virginianus6","California_Sierra_Nevada","summer","Bubo virginianus",0,3400,1434.2556211432,1022.76938487215,17.0885103608129,5.44382404230969
"Buteo jamaicensis9","California_Sierra_Nevada","summer","Buteo jamaicensis",0,3800,1260.45327423238,1321.26807471824,18.085325106741,6.78484493170663
"Buteo lineatus3","California_Sierra_Nevada","summer","Buteo lineatus",0,1600,798.671018951087,480.289986186478,20.380560373726,2.41245951327285
"Buteo swainsoni1","California_Sierra_Nevada","summer","Buteo swainsoni",0,600,185.232622430414,313.729531560477,23.6619523765603,1.93450081303411
"Callipepla californica4","California_Sierra_Nevada","summer","Callipepla californica",0,1600,675.594997216092,433.188779397186,20.9954925675653,2.20974476045139
"Calypte anna4","California_Sierra_Nevada","summer","Calypte anna",0,2600,972.355611103441,676.919394702638,19.5119922075294,3.45651421035539
"Cardellina pusilla4","California_Sierra_Nevada","summer","Cardellina pusilla",1200,3400,2468.89892690546,633.998090679962,11.5696689133207,3.70378258956267
"Catharus guttatus5","California_Sierra_Nevada","summer","Catharus guttatus",800,3600,2705.06491636282,662.321680354792,10.2946974571149,3.68594533917147
"Catharus ustulatus4","California_Sierra_Nevada","summer","Catharus ustulatus",600,3000,2277.13414527556,831.794760782441,12.4026944047258,4.79528987063725
"Catherpes mexicanus5","California_Sierra_Nevada","summer","Catherpes mexicanus",0,3000,1124.02616724065,761.032371502726,18.9224932443571,3.91143788126764
"Certhia americana9","California_Sierra_Nevada","summer","Certhia americana",800,3600,2153.20691943854,678.44962112705,13.4067338414699,3.9790315500947
"Chaetura vauxi6","California_Sierra_Nevada","summer","Chaetura vauxi",200,3000,1501.08070151679,781.772877468658,16.9482371178257,4.19863831038992
"Chamaea fasciata2","California_Sierra_Nevada","summer","Chamaea fasciata",200,2000,943.854151998535,445.408405731943,19.6965006154067,2.10374066472656
"Chondestes grammacus3","California_Sierra_Nevada","summer","Chondestes grammacus",0,2600,603.308702463822,537.229465172972,21.340709409768,2.76341757152206
"Chordeiles minor4","California_Sierra_Nevada","summer","Chordeiles minor",800,3400,2243.21209202982,800.349742022328,12.9283803115695,4.48363850414451
"Coccothraustes vespertinus4","California_Sierra_Nevada","summer","Coccothraustes vespertinus",400,3000,2135.57284504495,625.121584162267,13.3484299482231,3.69408360885735
"Colaptes auratus9","California_Sierra_Nevada","summer","Colaptes auratus",0,3600,1935.20647181274,903.152263064753,14.5707334002218,4.90119358284213
"Contopus cooperi4","California_Sierra_Nevada","summer","Contopus cooperi",800,3600,2103.68212665,679.142436938854,13.7477985040998,3.93266245894631
"Contopus sordidulus5","California_Sierra_Nevada","summer","Contopus sordidulus",0,3400,1767.3107509082,718.626636901942,15.5072690383315,4.07212912769347
"Corthylio calendula3","California_Sierra_Nevada","summer","Corthylio calendula",1000,3600,2947.50052046674,615.01137748869,8.94580956900062,3.19059911196875
"Corvus corax12","California_Sierra_Nevada","summer","Corvus corax",0,4000,1960.80449388095,1322.23766407684,14.7534772351972,6.49681058677057
"Cyanocitta stelleri7","California_Sierra_Nevada","summer","Cyanocitta stelleri",600,3400,1909.08349109818,703.249146522145,14.6849684279169,4.02433184215518
"Cypseloides niger2","California_Sierra_Nevada","summer","Cypseloides niger",200,3200,1747.14497724027,997.855731580175,15.7411846458597,5.58970204056752
"Dendragapus fuliginosus3","California_Sierra_Nevada","summer","Dendragapus fuliginosus",1800,3400,2756.18947674077,476.941831571365,9.79521893402295,2.79130550335592
"Dryobates albolarvatus2","California_Sierra_Nevada","summer","Dryobates albolarvatus",1000,3000,1930.94501575576,451.550363593845,14.8328191083311,2.75866788290694
"Dryobates nuttallii1","California_Sierra_Nevada","summer","Dryobates nuttallii",0,1600,648.391864986836,427.451899170247,21.1470029298713,2.1798012266873
"Dryobates pubescens5","California_Sierra_Nevada","summer","Dryobates pubescens",200,3400,1210.53092853975,728.011987421241,18.4455912137584,3.70047610611425
"Dryobates villosus7","California_Sierra_Nevada","summer","Dryobates villosus",200,3400,1981.37809435853,712.08472095632,14.3588179455213,4.06440218723989
"Dryocopus pileatus5","California_Sierra_Nevada","summer","Dryocopus pileatus",800,2600,1767.71171922409,412.428137994003,15.7871112264035,2.37994365027462
"Empidonax hammondii4","California_Sierra_Nevada","summer","Empidonax hammondii",1200,3200,2023.36705024821,571.209223721432,14.2414248239151,3.5241920974924
"Empidonax oberholseri4","California_Sierra_Nevada","summer","Empidonax oberholseri",1200,3600,2343.34937599029,673.146681023572,12.372575980317,3.94087714657123
"Empidonax traillii5","California_Sierra_Nevada","summer","Empidonax traillii",200,3200,1853.44981397511,1049.68003335603,14.8587122304026,5.77444332219782
"Falco peregrinus13","California_Sierra_Nevada","summer","Falco peregrinus",200,3000,1909.5294521508,771.158980890946,14.6675910811714,4.48409079720418
"Falco sparverius13","California_Sierra_Nevada","summer","Falco sparverius",0,3800,1310.81755615972,1738.16953283264,17.922167004456,8.7149870836878
"Geococcyx californianus1","California_Sierra_Nevada","summer","Geococcyx californianus",0,800,261.551558445256,374.957576521736,23.277213031001,2.14969151288045
"Geothlypis tolmiei4","California_Sierra_Nevada","summer","Geothlypis tolmiei",800,3600,1948.40893894195,532.776648160435,14.7252209057417,3.09261962211576
"Glaucidium gnoma4","California_Sierra_Nevada","summer","Glaucidium gnoma",400,2600,1465.56693742228,507.833437625682,17.1819340020914,2.52323442966854
"Haemorhous cassinii4","California_Sierra_Nevada","summer","Haemorhous cassinii",800,3600,2727.95790394506,605.861727545861,10.0253409535243,3.37795026721189
"Haemorhous mexicanus10","California_Sierra_Nevada","summer","Haemorhous mexicanus",0,3600,605.41066147948,591.716870085556,21.3623792523674,3.09199957791831
"Haemorhous purpureus3","California_Sierra_Nevada","summer","Haemorhous purpureus",0,3200,1586.04147093553,642.54962475192,16.5778336891723,3.49213001339131
"Icteria virens7","California_Sierra_Nevada","summer","Icteria virens",0,2800,585.884495095207,726.657775989514,21.3609581328158,3.9689433041689
"Icterus bullockii4","California_Sierra_Nevada","summer","Icterus bullockii",0,1600,564.306789818536,466.897124418853,21.6485382723348,2.35675745138182
"Icterus cucullatus2","California_Sierra_Nevada","summer","Icterus cucullatus",0,800,518.627197695206,428.390359202806,21.8779994010817,2.30152176108468
"Junco hyemalis5","California_Sierra_Nevada","summer","Junco hyemalis",800,3600,2340.3550195678,788.391168028547,12.3565518628325,4.45517643365907
"Lanius ludovicianus2","California_Sierra_Nevada","summer","Lanius ludovicianus",0,400,248.249362287424,185.574850531551,23.1015500590198,1.35035466048927
"Leiothlypis celata4","California_Sierra_Nevada","summer","Leiothlypis celata",400,3600,2275.54122650786,829.46528871764,12.6605190753097,4.59709543057033
"Leiothlypis ruficapilla4","California_Sierra_Nevada","summer","Leiothlypis ruficapilla",1000,3200,2013.17294289838,562.407954825849,14.2184081193476,3.40674929638554
"Leucosticte tephrocotis1","California_Sierra_Nevada","summer","Leucosticte tephrocotis",3000,4000,3638.97928810225,311.116824270249,6.53935070705085,0.807835043970221
"Loxia curvirostra10","California_Sierra_Nevada","summer","Loxia curvirostra",1400,3400,2652.99776483091,553.805590791107,10.3229333051435,3.24887504103285
"Megascops kennicottii3","California_Sierra_Nevada","summer","Megascops kennicottii",200,1800,992.866415531221,508.689663538583,19.4932523597226,2.34315225053201
"Melanerpes formicivorus8","California_Sierra_Nevada","summer","Melanerpes formicivorus",0,1800,760.608885384436,513.862248467455,20.5913927574141,2.53566875270685
"Meleagris gallopavo5","California_Sierra_Nevada","summer","Meleagris gallopavo",0,2000,707.802835764267,409.8853157516,20.8003196462118,2.04587924626202
"Melospiza melodia5","California_Sierra_Nevada","summer","Melospiza melodia",0,3200,1603.93256155738,804.311122449346,16.4222860665849,4.47553629745069
"Melozone crissalis1","California_Sierra_Nevada","summer","Melozone crissalis",0,1600,809.011903617835,447.122370907907,20.2921831871031,2.30163501892832
"Mimus polyglottos3","California_Sierra_Nevada","summer","Mimus polyglottos",0,1000,240.763478746255,502.016898221788,23.3910830917444,2.80676077500993
"Molothrus ater7","California_Sierra_Nevada","summer","Molothrus ater",0,3600,1092.47461659774,900.684155336839,18.9611722343896,4.68298011316822
"Myadestes townsendi4","California_Sierra_Nevada","summer","Myadestes townsendi",1200,3200,2295.19393362486,560.360433999752,12.5367859840483,3.45427033005718
"Myiarchus cinerascens3","California_Sierra_Nevada","summer","Myiarchus cinerascens",0,1600,553.295674732909,408.151721378171,21.6377127429463,2.08001857610588
"Nucifraga columbiana3","California_Sierra_Nevada","summer","Nucifraga columbiana",2000,3800,3111.36867368147,443.207630322652,8.19800534906162,1.9092503822135
"Oreortyx pictus3","California_Sierra_Nevada","summer","Oreortyx pictus",600,3200,1895.62080629609,588.216480172078,14.8878647687623,3.3961227627874
"Passerella iliaca4","California_Sierra_Nevada","summer","Passerella iliaca",1400,3400,2089.75706531942,505.642736594585,13.8791408324912,3.02217037601688
"Passerina amoena4","California_Sierra_Nevada","summer","Passerina amoena",200,3400,1614.41452424702,737.245458685242,16.4585620279293,3.9753630741483
"Patagioenas fasciata10","California_Sierra_Nevada","summer","Patagioenas fasciata",200,2800,1326.00120547654,689.816249019796,17.7521455440027,3.58848445221203
"Petrochelidon pyrrhonota6","California_Sierra_Nevada","summer","Petrochelidon pyrrhonota",0,1000,331.47614411417,562.452029058058,22.8941798667452,2.99184908570081
"Phainopepla nitens1","California_Sierra_Nevada","summer","Phainopepla nitens",0,1200,535.16322748042,305.25417671445,21.708587902057,1.5414736221152
"Phalaenoptilus nuttallii2","California_Sierra_Nevada","summer","Phalaenoptilus nuttallii",200,3000,1853.75119365281,975.752835389443,14.6574432728495,5.33692533970014
"Pheucticus melanocephalus6","California_Sierra_Nevada","summer","Pheucticus melanocephalus",0,2600,1178.21195596456,549.060089791024,18.6235195505656,2.68684364333741
"Picoides arcticus3","California_Sierra_Nevada","summer","Picoides arcticus",1000,3400,2349.53760498855,592.051628795263,12.2070727532396,3.48095852459201
"Pinicola enucleator1","California_Sierra_Nevada","summer","Pinicola enucleator",2000,3600,2759.07900941709,436.883536497174,9.68813566488488,2.33051837717427
"Pipilo chlorurus2","California_Sierra_Nevada","summer","Pipilo chlorurus",1400,3600,2272.27027458394,529.320514320579,12.783862146393,3.11098432193937
"Pipilo maculatus7","California_Sierra_Nevada","summer","Pipilo maculatus",0,2200,1239.28741005831,557.447974809155,18.3255121641529,2.72914078292071
"Piranga ludoviciana4","California_Sierra_Nevada","summer","Piranga ludoviciana",400,3000,1800.68936251593,597.621832384855,15.4231147625462,3.38881125621758
"Poecile gambeli4","California_Sierra_Nevada","summer","Poecile gambeli",800,3800,2471.9367857274,662.213079667239,11.5843038247835,3.77478803212689
"Poecile rufescens4","California_Sierra_Nevada","summer","Poecile rufescens",600,3000,1272.62514473292,799.423511188928,17.9715957004862,4.29260743921471
"Polioptila caerulea3","California_Sierra_Nevada","summer","Polioptila caerulea",200,2800,1222.53278574588,477.320611725025,18.5241190184244,2.32491523610839
"Psaltriparus minimus6","California_Sierra_Nevada","summer","Psaltriparus minimus",0,2000,712.97778917796,562.327872544146,20.8671072701495,2.89857052124018
"Psiloscops flammeolus3","California_Sierra_Nevada","summer","Psiloscops flammeolus",800,2800,1766.01069602783,552.27907095643,15.6965731471009,3.33798702039373
"Regulus satrapa6","California_Sierra_Nevada","summer","Regulus satrapa",1200,3200,2081.01586999381,492.523472584846,13.8766149114835,3.04579678016326
"Salpinctes obsoletus4","California_Sierra_Nevada","summer","Salpinctes obsoletus",3000,4000,3430.85236908898,1380.74324969794,7.72053112614841,6.46904994986975
"Sayornis nigricans11","California_Sierra_Nevada","summer","Sayornis nigricans",0,1800,736.361750571093,678.040863942578,20.7892930364436,3.47430190248995
"Sayornis saya3","California_Sierra_Nevada","summer","Sayornis saya",0,3400,1589.68281420046,1818.82432077251,16.334471631462,9.51203313746469
"Selasphorus calliope2","California_Sierra_Nevada","summer","Selasphorus calliope",200,3400,2213.25131974592,860.354735132379,12.9929647659951,4.81357918346257
"Selasphorus rufus4","California_Sierra_Nevada","summer","Selasphorus rufus",600,4000,3202.91097016555,1569.32223285142,8.78787824671564,7.34254608101453
"Setophaga coronata5","California_Sierra_Nevada","summer","Setophaga coronata",800,3600,2440.06657453403,660.627046502997,11.7343686483396,3.85396149721958
"Setophaga nigrescens3","California_Sierra_Nevada","summer","Setophaga nigrescens",800,3400,1608.19651830458,601.998354015993,16.527361446534,3.1761566282962
"Setophaga occidentalis3","California_Sierra_Nevada","summer","Setophaga occidentalis",800,3000,1917.3294922868,474.734779334357,14.8536292623014,2.92495278278467
"Setophaga petechia5","California_Sierra_Nevada","summer","Setophaga petechia",0,3000,1629.80866140047,655.292679672867,16.4229309797501,3.56104549961668
"Setophaga townsendi3","California_Sierra_Nevada","summer","Setophaga townsendi",800,2800,1865.98275470853,674.31899909295,14.8154640447944,3.80826054850405
"Sialia currucoides3","California_Sierra_Nevada","summer","Sialia currucoides",200,3600,2908.08815064276,658.137553763146,9.17127343712298,3.41622945039835
